Physical Record ID,BL record ID,ARK
004031040,014940086,ark:/81055/vdc_000000021AEC
004031043,015178564,ark:/81055/vdc_000000025FF8
004030703,014841678,ark:/81055/vdc_000000005322
004030674,014912765,ark:/81055/vdc_00000001F6CE
004030680,014905548,ark:/81055/vdc_00000001E1CE
004030690,014897259,ark:/81055/vdc_00000001B648
003517568,014830281,ark:/81055/vdc_000000042B88
004029906,015211164,ark:/81055/vdc_000000027450
004029064,014832767,ark:/81055/vdc_00000005ED76
002736624,014826814,ark:/81055/vdc_000000048186
004029045,014891856,ark:/81055/vdc_000000019854
004029019,014848317,ark:/81055/vdc_00000000698A
004028244,014919494,ark:/81055/vdc_00000002004C
004028190,015178563,ark:/81055/vdc_0000000269F4
004027807,015178562,ark:/81055/vdc_0000000269BE
004027793,014873204,ark:/81055/vdc_000000013E96
004027633,014848316,ark:/81055/vdc_000000006A50
004027603,014873203,ark:/81055/vdc_000000011BE6
004027602,014919493,ark:/81055/vdc_00000001DEC2
004027578,014867978,ark:/81055/vdc_00000000FBE2
004027505,015178561,ark:/81055/vdc_00000002616C
004027375,014897258,ark:/81055/vdc_00000001BFEA
004027333,014862519,ark:/81055/vdc_00000000D2C0
004027337,014862520,ark:/81055/vdc_00000000D566
004027224,014897257,ark:/81055/vdc_00000001B174
004027249,014891855,ark:/81055/vdc_00000001A328
004027194,014867977,ark:/81055/vdc_0000000106D4
004027165,015115886,ark:/81055/vdc_00000002428E
004026949,014873202,ark:/81055/vdc_000000012570
004026815,015743155,ark:/81055/vdc_00000001DD54
004026090,014873201,ark:/81055/vdc_000000013158
004026091,014848315,ark:/81055/vdc_000000008E98
004026009,014841677,ark:/81055/vdc_0000000055F2
004025668,014919492,ark:/81055/vdc_00000002097C
004025640,014862518,ark:/81055/vdc_00000000B9F4
004025638,014841676,ark:/81055/vdc_000000005A7E
004025140,014861169,ark:/81055/vdc_00000000AB12
004025078,014841675,ark:/81055/vdc_00000000650A
004023972,014867976,ark:/81055/vdc_00000000E628
004023866,015211163,ark:/81055/vdc_000000026D96
004023575,014891854,ark:/81055/vdc_0000000197A0
004023496,014848314,ark:/81055/vdc_000000006852
004023337,014873200,ark:/81055/vdc_0000000129D8
004023342,015178560,ark:/81055/vdc_0000000262C8
004023344,015211162,ark:/81055/vdc_0000000274CE
004023178,014867975,ark:/81055/vdc_000000010B18
